Client Name,Email,Start Date,Retainer Amount,Paid Amount,Payment Date,Next Due Date,Payment Status,Contract Status
Long-Gomez,christianrobinson@rhodes-arroyo.com,2023-08-07,1500,1500,2023-10-29,2023-11-28,Paid,Ended
"Ayers, Cohen and Perez",douglas38@brown.com,2024-07-26,500,500,2024-10-04,2024-11-03,Paid,Ended
Stein-Clark,jdudley@steele.com,2024-11-15,1500,1500,2024-12-17,2025-01-16,Paid,Ended
Sanchez-Foley,sararomero@allen-mitchell.net,2023-10-10,500,250,2023-11-27,2023-12-27,Partial,Ended
"Richardson, Dickerson and Gutierrez",tracy35@nicholson-cordova.com,2024-06-16,1500,1500,2024-08-23,2024-09-22,Paid,Ended
"Peterson, Torres and Johnson",renee34@norris.com,2025-01-18,1500,1500,2025-02-08,2025-03-10,Paid,Ended
"Dixon, Rosales and Rogers",katherine65@torres.org,2024-08-24,2500,2500,2024-10-15,2024-11-14,Paid,Ended
Richardson-Green,amy37@nguyen.org,2025-05-28,2500,1250,2025-08-19,2025-09-18,Partial,Active
Rose-Anderson,justin22@barajas.org,2024-07-23,500,0,2024-08-29,2024-09-28,Overdue,Ended
Salinas-Walters,baldwinsteve@weaver.org,2024-07-26,500,250,2024-09-26,2024-10-26,Partial,Ended
